File,E1-bc_Germ_adj,E2-bc_Germ_adj,E3-bc_Germ_adj,E4-bc_Germ_adj,E5-bc_Germ_adj,E6-bc_Germ_adj,E7-bc_Germ_adj,E8-bc_Germ_adj,E9-bc_Germ_adj,E10-bc_Germ_adj,E11-bc_Germ_adj,E12-bc_Germ_adj,E13-bc_Germ_adj,E14-bc_Germ_adj,E15-bc_Germ_adj,E16-bc_Germ_adj,E17-bc_Germ_adj,E18-bc_Germ_adj,E19-bc_Germ_adj,E20-bc_Germ_adj,E21-bc_Germ_adj,E22-bc_Germ_adj,E23-bc_Germ_adj,E24-bc_Germ_adj,E25-bc_Germ_adj,E26-bc_Germ_adj,E27-bc_Germ_adj,E28-bc_Germ_adj,E29-bc_Germ_adj,E30-bc_Germ_adj,E31-bc_Germ_adj,E32-bc_Germ_adj,E33-bc_Germ_adj,E34-bc_Germ_adj,E35-bc_Germ_adj,E36-bc_Germ_adj,E37-bc_Germ_adj,E38-bc_Germ_adj,E39-bc_Germ_adj,E40-bc_Germ_adj,E41-bc_Germ_adj,E42-bc_Germ_adj,E43-bc_Germ_adj,E44-bc_Germ_adj,E45-bc_Germ_adj,E46-bc_Germ_adj,E47-bc_Germ_adj,E48-bc_Germ_adj,E49-bc_Germ_adj,E50-bc_Germ_adj,E51-bc_Germ_adj,E52-bc_Germ_adj,E53-bc_Germ_adj,E54-bc_Germ_adj,E55-bc_Germ_adj,E56-bc_Germ_adj,E57-bc_Germ_adj,E58-bc_Germ_adj,E59-bc_Germ_adj,E60-bc_Germ_adj,E61-bc_Germ_adj,E62-bc_Germ_adj,E63-bc_Germ_adj,E64-bc_Germ_adj,E65-bc_Germ_adj,E66-bc_Germ_adj,E67-bc_Germ_adj,E68-bc_Germ_adj,E69-bc_Germ_adj,E70-bc_Germ_adj,E71-bc_Germ_adj,E72-bc_Germ_adj,E73-bc_Germ_adj,E74-bc_Germ_adj,E75-bc_Germ_adj,E76-bc_Germ_adj,E77-bc_Germ_adj,E78-bc_Germ_adj,E79-bc_Germ_adj,E80-bc_Germ_adj,E81-bc_Germ_adj,E82-bc_Germ_adj,E83-bc_Germ_adj,E84-bc_Germ_adj,E85-bc_Germ_adj,E86-bc_Germ_adj,E87-bc_Germ_adj,E88-bc_Germ_adj,E89-bc_Germ_adj,E90-bc_Germ_adj,E91-bc_Germ_adj,E92-bc_Germ_adj,E93-bc_Germ_adj,E94-bc_Germ_adj,E95-bc_Germ_adj,E96-bc_Germ_adj,E97-bc_Germ_adj,E98-bc_Germ_adj,E99-bc_Germ_adj,E100-bc_Germ_adj,E101-bc_Germ_adj,E102-bc_Germ_adj,E103-bc_Germ_adj,E104-bc_Germ_adj,E105-bc_Germ_adj,E106-bc_Germ_adj,E107-bc_Germ_adj,E108-bc_Germ_adj,E109-bc_Germ_adj,E110-bc_Germ_adj,E111-bc_Germ_adj,E112-bc_Germ_adj,E113-bc_Germ_adj,E114-bc_Germ_adj,E115-bc_Germ_adj,E116-bc_Germ_adj,E117-bc_Germ_adj,E118-bc_Germ_adj,E119-bc_Germ_adj,E120-bc_Germ_adj,E121-bc_Germ_adj,E122-bc_Germ_adj,E123-bc_Germ_adj,E124-bc_Germ_adj,E125-bc_Germ_adj,E126-bc_Germ_adj,E127-bc_Germ_adj,E128-bc_Germ_adj,Cz-bc_Germ_adj
N1_0051_sec120-export,3.281388,3.127985,4.789008,4.565162,3.594614,3.536916,3.038162,1.512418,4.091288,4.439479,3.158216,2.928654,2.514339,3.179573,3.58167,4.036454,2.655358,2.054566,3.319082,2.177744,2.895375,2.743736,3.389339,2.867726,2.792076,2.580457,2.781568,2.990453,3.449899,2.07718,2.152477,0.096491,2.114557,1.960317,1.379517,1.439144,1.750149,0.239222,-0.318664,0.535313,0.483723,0.617231,0.254381,-0.120546,-2.012748,-0.989804,-0.69058,-0.541303,-0.977251,-4.326001,-2.649462,-1.051745,1.026857,1.749262,2.597278,-1.682804,-3.580736,-6.830863,-3.528859,-0.184539,1.5466,2.232088,-2.328495,-4.251624,-5.771748,-2.765335,1.323626,-2.882209,-4.323134,-4.992716,-2.846518,1.033751,-3.489614,-4.025182,-4.470364,-1.911445,1.554015,2.088757,2.41207,2.872054,-2.962125,-5.264935,-7.125063,-5.492701,-1.345836,1.053937,2.510674,-3.330281,-5.436252,-11.096515,-7.363519,-1.052473,0.188427,-3.847849,-5.433244,-7.962011,-4.274184,-1.181355,-3.165804,-4.919375,-4.426013,-1.78022,-0.103504,2.538138,2.82175,3.24801,-2.722499,-2.462667,0.311124,1.974076,2.835291,3.479389,-1.824158,-0.391105,-0.456382,1.787251,3.824135,4.468293,-2.329499,-0.904567,0.917095,1.549393,4.198999,4.022042,1.332726,-1.46521,-0.533108,0.459176,3.068052
N1_0052_sec120-export,2.664568,2.675762,2.123828,1.415683,-0.056775,-0.858114,-0.48118,3.519102,2.483009,1.292225,0.664763,-0.555325,-1.091672,2.900285,2.011198,1.215521,2.787029,0.864875,-0.25205,-1.552591,2.630095,1.912375,0.046016,-1.20612,1.738937,0.71848,-0.250522,-2.195653,-1.503387,-1.475256,-0.183819,1.120089,0.224488,-1.979486,-2.668908,-2.014918,-0.875222,0.573375,-0.798352,-2.268941,-2.456419,-2.50182,1.098132,0.543289,-2.111073,-2.633953,-3.507079,0.959517,1.000922,-4.149649,-5.542462,-3.419852,-0.952694,0.221452,1.463601,0.081966,-1.893442,-5.727877,-6.365858,-2.476619,0.454514,2.201874,-0.926054,-2.512212,-4.529968,-4.892892,0.168085,-1.328923,-1.833255,-3.576231,-2.021777,1.197161,0.189348,-0.762656,-1.16732,1.57022,2.741729,2.947276,2.01218,0.469956,-0.323342,-0.473119,-1.081031,0.99289,1.802887,1.601512,2.06426,-0.169356,-0.580353,-1.142389,-1.154226,0.99321,1.053735,-0.368769,-1.024453,-2.17923,-1.034559,1.441282,0.853595,-0.570904,-1.42261,1.191848,1.009795,0.656264,0.336041,-0.482022,0.377641,0.81487,1.578466,1.237274,0.474745,0.088595,1.199287,2.178459,1.939479,1.366692,1.14971,0.955432,2.276164,2.338673,2.0303,2.52155,1.676454,1.286229,2.13181,2.319785,1.485771,1.127292,0.109813
N1_0053_sec120-export,2.221525,0.284146,-0.131559,-0.55027,-0.707453,-0.76508,-1.35383,2.502977,0.779239,0.56679,-0.306675,-0.207459,-1.005384,1.666806,0.274652,-0.248365,1.606811,0.486416,0.123575,-0.214888,1.3234,2.209777,0.936215,0.75257,1.896201,1.898439,1.032157,-0.679782,-0.725486,-1.374566,-1.534632,2.280264,2.384876,0.512841,-0.517442,-1.160697,-1.277978,2.080912,0.932383,-0.089759,-0.915767,-1.776459,1.855201,1.789285,0.145623,-0.574163,-1.226999,2.45212,1.529271,-0.92967,-1.917025,-2.886887,-1.98202,-1.270739,-0.83962,0.891287,-0.115078,-2.124084,-3.138906,-2.216959,-0.715494,0.490162,0.671061,-0.741295,-1.882696,-2.223454,-0.421061,0.717597,-0.364644,-0.641337,-0.418747,0.312719,-0.160525,-0.228479,0.196592,-0.199114,-0.485753,-0.3642,-0.611162,-0.977352,-0.266537,-0.39289,-0.775667,-1.412187,-0.986489,-0.785964,-0.712932,0.869075,-0.060835,-1.017718,-1.438712,-1.188473,-0.863932,0.996898,0.595361,-0.45102,-0.791718,-0.779646,1.470862,1.586822,0.021355,-0.036619,-0.414582,-1.006218,-1.033932,-1.16315,2.502304,1.182852,0.169752,-0.355979,-0.950325,-1.011941,2.108442,2.150482,1.609028,-0.146388,-0.45284,-1.131522,2.051075,1.985288,1.920726,0.79205,-0.948647,-0.984489,2.142599,1.854461,0.314397,2.020514,-1.385893
N1_0054_sec120-export,-0.56389,-0.555828,-0.643934,-1.736078,-2.14315,-2.114663,-0.981858,0.142799,-0.710854,-1.070657,-2.10761,-2.335833,-2.127604,-0.079596,-0.722005,-1.82853,0.047591,-1.845575,-2.348128,-2.061732,-1.064885,-0.929924,-1.726679,-3.255577,0.874992,-1.894585,-1.666814,-2.079494,-2.180338,-1.124861,0.530168,-1.16081,-1.386052,-1.557973,-1.872769,-1.442859,0.00341,-1.625722,-2.090605,-2.426403,-2.058505,-1.04843,-1.29873,-1.800159,-2.933373,-2.269456,-1.731825,-1.096553,-0.235247,-2.383559,-3.086656,-0.258431,0.740057,2.199069,1.835528,-0.987859,-1.686273,-2.516933,-2.395554,1.473233,2.978412,7.035944,-0.696119,-1.640022,-2.375048,-0.879988,5.180796,-0.982885,-0.268058,-0.69162,3.064237,6.889397,0.259002,1.515739,1.59454,5.633799,7.959792,7.612715,4.430041,1.371186,0.623543,0.891242,2.186946,6.702163,8.429158,5.391156,2.335139,0.538773,1.411016,1.728447,6.825875,5.094271,3.089087,-0.291888,0.357762,1.27178,3.227066,2.85923,-1.050207,-0.395945,-0.913728,0.91665,0.838241,0.893876,0.022505,-0.559497,-0.890588,-0.625391,-0.006688,-0.36058,-0.827871,-1.341066,-1.504515,-1.520099,-1.566888,-0.606685,-1.580312,-1.796158,-0.948285,-1.476288,-1.157968,-0.740815,-0.459438,-2.103992,-1.223748,-2.003211,-0.956687,-1.435884,0.123207
N1_0055_sec120-export,1.332248,1.347353,3.809416,2.327879,2.401373,2.346744,1.72859,2.52817,1.829955,3.770305,2.422535,3.120145,2.537977,2.165501,2.492442,3.17558,2.985566,2.369783,3.053845,3.013894,2.454042,2.938481,3.191659,3.094141,1.655866,1.526578,2.581908,2.313172,2.150708,1.600171,0.634852,1.870814,1.552328,2.217182,1.374949,0.038869,-0.878228,1.348796,0.345087,0.251708,-0.458169,-1.139415,1.997839,0.99226,-1.197392,-2.446898,-3.102269,1.48088,1.181307,-4.02133,-6.351547,-5.106781,-3.348785,-0.517454,1.168397,0.441571,-2.272724,-9.112316,-11.114044,-7.749018,-3.656054,-1.784664,-0.453257,-3.927965,-9.962218,-11.273602,-5.89444,-1.397548,-4.147201,-7.604292,-4.934576,-2.865202,-2.086125,-2.752788,-2.844057,-2.511382,-1.651582,-0.814138,0.117825,1.728256,-1.314304,-1.683259,-2.241835,-3.894868,-2.226909,-0.609902,1.252018,-0.227774,-1.103928,-3.117074,-4.152516,-1.355108,0.465678,0.550755,0.27729,-1.340999,-0.925019,-0.187814,0.716178,0.865647,-0.367742,0.536535,0.797158,1.714725,1.893327,2.089478,2.456718,0.872818,1.316172,4.118941,2.621734,2.500198,1.177203,2.077465,2.003828,2.343523,1.886183,2.889358,1.643956,2.467937,2.003547,2.414211,2.964344,2.693663,1.972094,1.996334,1.494506,2.075685,1.968362
N1_0056_sec180-export,0.376332,0.566796,1.030312,0.896985,0.132894,0.042024,0.238477,1.260978,1.752285,1.784336,1.558189,0.455616,0.239587,2.073593,1.609862,2.566017,1.774289,1.749159,1.675984,0.632254,1.280266,1.579194,1.168619,0.336964,1.27555,0.952612,0.591548,0.482012,0.887069,0.226616,0.120829,1.377469,0.904579,0.729696,0.019441,0.887385,0.324965,1.673363,1.511959,1.414114,0.867184,0.118839,1.291059,1.16724,1.017744,0.352104,0.571677,0.717935,0.560742,0.329213,-0.3659,0.515596,0.419481,0.335546,0.414022,-0.026629,-0.532397,-1.75363,-0.817796,-0.280248,0.658232,0.587392,-0.416555,-0.689325,-1.546245,-0.979145,0.468992,-1.150918,-1.672011,-0.750511,0.051575,0.180986,-1.463859,-0.410973,-1.040787,-0.662213,-0.067007,0.5555,0.066599,-0.519411,-0.940392,-1.295615,-1.089219,-0.853803,-0.416771,-0.084148,-0.529224,-1.597666,-0.754577,-1.14318,-1.071895,-1.018143,-1.301158,-1.639963,-1.244931,-1.670664,-1.056549,-1.972569,-3.350066,-1.583591,-2.390377,-1.49314,-1.537706,-0.862735,-1.092131,-0.68653,-1.63706,-0.189938,0.178293,-0.911276,-0.61135,-0.412981,-0.234288,1.084417,-0.493731,-0.600736,-1.550695,-0.249565,-0.420809,0.194276,-0.814683,-0.238874,0.092535,0.107091,0.105118,0.277779,1.16528,1.812353,-0.236727
N1_0057_sec120-export,1.554276,3.533719,1.998889,1.420175,1.054585,1.854201,1.993873,3.297287,2.224309,1.830025,1.566125,1.67536,1.757306,2.665933,2.347824,2.037214,2.008382,1.543356,1.930274,1.263892,2.720659,2.708167,2.02547,0.932691,1.309325,1.538656,0.457178,0.69121,0.28576,1.151718,1.647102,0.550304,-0.286781,0.166358,-0.066228,0.808778,0.632178,-0.252572,-0.940134,-1.04096,-0.517506,-0.178914,-0.212195,-0.799326,-1.133975,-3.932175,-0.955676,-0.745652,-0.989249,-3.893676,-1.941345,-0.665483,0.342625,1.709628,1.711308,-2.336684,-3.475502,-3.735283,-1.946391,-0.183152,0.668448,1.797169,-3.319934,-6.390337,-4.200378,0.341232,1.188236,-2.284188,-3.051169,0.208499,2.311372,2.415389,-2.116756,-1.016908,1.565185,1.12651,0.771145,1.781001,1.362697,1.350994,-1.376168,-1.225583,-0.363575,0.121448,1.0896,0.47,1.572822,-1.729142,-3.148014,-3.042797,-1.83014,-0.451632,0.357802,-2.297784,-7.784639,-5.149242,-1.011296,-0.260782,-3.114315,-4.262398,-1.193994,-0.555317,0.890738,1.058117,0.227802,-0.058348,-1.694806,-0.725019,-0.103677,1.008443,0.8052,1.105229,-0.052397,-0.110536,-0.511388,0.324641,0.921204,1.08903,-0.203863,0.807383,0.274247,0.798492,1.214415,1.069197,0.735677,0.316819,0.006295,-0.67773,1.444517
N1_0058_sec120-export,1.358431,2.452146,1.460546,1.491081,0.654317,-0.186615,0.087643,1.571055,3.121032,3.270867,2.124983,-0.478533,0.194268,4.718029,2.945688,4.026845,4.018025,1.204924,-0.0752,1.226044,4.942697,4.073962,1.219482,1.426953,3.787862,4.239314,1.991183,1.997221,-0.390204,0.471601,0.28846,1.369443,2.543787,-0.784048,-0.0585,-0.254448,-1.623374,1.617617,0.106693,-2.006477,-2.693602,-6.194961,1.942904,1.44552,-2.950115,-2.27921,-5.920445,1.895897,1.94381,-1.745491,-5.441773,-4.2904,-4.112751,-1.71261,-0.129933,1.288273,-1.590308,-6.624,-7.235005,-2.562059,-0.894494,1.449489,-0.339696,-4.198182,-5.269628,-5.072921,2.179538,-2.95332,-3.094456,-4.086013,-0.239759,2.841231,-0.919517,-1.892617,0.837658,1.420435,1.927837,0.584259,0.188043,0.445208,-1.127288,0.482147,0.065162,0.087493,0.007383,-1.300983,0.14785,-0.748384,0.138287,-0.202694,0.963535,-0.110868,-0.230366,1.078993,-1.180414,-2.07843,-0.35109,0.289916,1.378322,-0.101127,-2.770203,-1.023491,-2.051737,0.180318,-0.381715,-0.997422,0.196207,0.63712,1.092961,-1.140754,1.253631,-2.314831,1.531388,2.356766,1.004954,-0.862244,1.023253,0.498397,1.595693,1.492519,1.809057,-2.059551,0.230681,0.464586,0.884344,0.662886,2.139639,1.756871,-0.508405
N1_0059_sec120-export,0.138061,1.659541,2.861794,3.440137,4.064731,4.706962,4.588316,1.729287,2.593665,3.384465,3.732439,4.031429,4.464826,3.552351,2.409096,3.523227,2.266021,4.112643,4.065694,4.053777,2.865682,2.658075,4.291953,3.606305,2.78074,3.908304,2.30811,3.578805,4.156962,4.495048,5.074491,1.460893,0.753015,3.025719,3.002796,3.699219,4.331007,0.18061,-0.680001,-0.104646,1.536747,2.352571,-0.779868,-2.175245,-2.150475,-1.323588,-0.1251,-1.10896,-2.324999,-3.266991,-1.478485,-0.098423,2.972526,4.361343,4.510113,-3.770993,-4.16427,-4.668938,-3.107296,-0.197575,1.536239,1.972923,-4.57659,-4.450746,-4.597018,-2.740524,-0.613578,-4.696605,-4.315015,-4.108175,-2.358125,1.051108,-4.283755,-3.342465,-3.40194,-1.623332,1.807527,1.896162,2.420117,4.494859,-4.471854,-5.112723,-4.132936,-1.677014,0.394483,1.534622,3.529479,-5.665674,-6.600648,-7.463003,-4.556349,-1.54544,0.177077,-5.976126,-6.295629,-7.986482,-6.684602,-1.612163,-4.946538,-5.685467,-5.307006,-1.891657,-0.472947,0.642902,3.615629,4.474448,-4.347608,-4.978716,-1.248466,0.22853,3.090579,4.055458,-2.097958,-2.72004,-2.101959,0.454673,1.649674,3.80591,-3.449584,-2.029464,-1.092423,-0.388067,1.801731,3.438212,-1.575366,-0.617733,0.827354,0.168339,5.007836
N1_0060_sec120-export,3.047921,2.259517,3.959509,3.883262,3.293643,3.148103,2.487666,4.075038,4.581076,4.639941,3.927534,3.126078,2.843185,4.401063,4.548091,4.661054,4.447718,3.96415,3.216464,3.093348,4.582831,3.952782,3.641664,2.27982,3.555827,3.134014,3.10358,2.598185,2.440273,2.31969,1.885851,2.550466,3.214046,1.988489,2.091751,2.427029,1.219364,1.692752,1.588604,1.879212,1.263706,0.489983,0.828056,1.292433,-0.12948,-0.422097,-0.021447,0.288883,0.16949,-5.134259,-2.791752,-1.258882,-0.778597,0.454818,1.346772,-2.520536,-5.681414,-9.163896,-5.024944,-2.669616,-1.082611,-0.041339,-2.710716,-6.734413,-7.789887,-5.723011,-2.667636,-4.185425,-6.431085,-6.35882,-3.552462,-0.594208,-3.410434,-3.602195,-3.858828,-2.13552,-1.767651,-0.53159,0.68221,1.813226,-2.80847,-4.12151,-4.718159,-3.370871,-1.620924,0.339679,1.777941,-3.697733,-4.014904,-7.683744,-5.778245,-1.651772,0.718566,-3.076975,-5.966959,-8.98965,-4.083119,-0.845156,-2.953966,-5.804515,-5.828996,-1.045617,0.777026,2.158552,2.572137,2.715024,-2.612125,-3.244966,1.006205,1.764886,2.521053,2.537673,-0.388981,0.41705,1.317736,2.166976,2.811688,2.65943,0.511502,0.705772,2.148912,2.972796,2.501959,3.190375,1.741095,1.283628,1.298998,1.706008,2.379272
