,Unnamed: 0,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
0,0,57,5_Chinese_1.BMP,嘴,3,18,21.0,0.0,15.6565568246146
1,1,47,5_Chinese_2.BMP,镇,2,15,16.0,2.0,8.67118685716789
2,2,48,5_Chinese_3.BMP,鞋,2,15,16.0,0.0,17.5824021397003
3,3,66,5_Chinese_4.BMP,墙,2,14,14.0,0.0,12.4035987156816
4,4,67,5_Chinese_5.BMP,歌,5,14,14.0,0.0,14.8633564976112
5,5,78,5_Chinese_6.BMP,路,2,13,15.0,0.0,17.5742939619521
6,6,77,5_Chinese_7.BMP,腿,3,16,15.0,1.0,11.0379676240795
7,7,31,5_Chinese_8.BMP,粮,4,13,11.0,2.0,11.6573594115329
8,8,32,5_Chinese_9.BMP,腰,2,15,19.0,0.0,19.7973543528619
9,9,38,5_Chinese_10.BMP,碗,2,13,17.0,0.0,22.9322014395339
10,10,39,5_Chinese_11.BMP,煤,4,13,9.0,1.0,16.4202547558236
11,11,35,5_Chinese_12.BMP,牌,1,12,16.0,0.0,22.9957300279419
12,12,34,5_Chinese_13.BMP,街,5,12,6.0,2.0,14.4316776281629
13,13,28,5_Chinese_14.BMP,湖,4,13,15.0,2.0,14.0803847712783
14,14,25,5_Chinese_15.BMP,铺,1,15,16.0,0.0,24.1926473262079
15,15,30,5_Chinese_16.BMP,锁,6,15,8.0,4.0,10.1353512907145
16,16,33,5_Chinese_17.BMP,脸,2,13,8.0,3.0,10.1095483116853
17,17,81,5_Chinese_18.BMP,眼,2,11,17.0,0.0,18.2639898393654
18,18,74,5_Chinese_19.BMP,船,2,13,13.0,2.0,9.38605612295505
19,19,45,5_Chinese_20.BMP,脚,3,11,15.0,0.0,17.1757876212475
20,20,50,5_Chinese_21.BMP,馆,3,17,14.0,0.0,12.2743858136197
21,21,58,5_Chinese_22.BMP,球,3,12,8.0,2.0,10.3026779779464
22,22,56,5_Chinese_23.BMP,族,2,11,9.0,1.0,15.4096521367654
23,23,80,5_Chinese_24.BMP,理,2,12,14.0,0.0,17.7879139158633
24,24,75,5_Chinese_25.BMP,钱,2,13,9.0,1.0,13.8569918087842
25,25,65,5_Chinese_26.BMP,班,3,11,6.0,1.0,15.3324193450592
26,26,68,5_Chinese_27.BMP,酒,4,10,12.0,3.0,15.455613639971
27,27,27,5_Chinese_28.BMP,海,3,11,9.0,4.0,6.49660409054936
28,28,26,5_Chinese_29.BMP,烟,2,13,9.0,1.0,10.2712296095725
29,29,79,5_Chinese_30.BMP,铁,1,10,8.0,0.0,21.3017583002708
30,30,76,5_Chinese_31.BMP,课,3,15,12.0,1.0,18.2420501946228
31,31,64,5_Chinese_32.BMP,娘,2,10,14.0,0.0,17.3012057310299
32,32,69,5_Chinese_33.BMP,核,4,10,7.0,1.0,14.1613331225083
33,33,46,5_Chinese_34.BMP,桥,1,10,8.0,0.0,21.134589778517
34,34,49,5_Chinese_35.BMP,信,4,9,6.0,0.0,14.058204509757
35,35,59,5_Chinese_36.BMP,树,4,9,6.0,1.0,10.6253250674695
36,36,55,5_Chinese_37.BMP,院,4,15,11.0,0.0,17.7389241693196
37,37,37,5_Chinese_38.BMP,城,2,10,9.0,1.0,14.7371206400724
38,38,40,5_Chinese_39.BMP,洞,4,10,7.0,4.0,14.4610854172251
39,39,96,5_Chinese_40.BMP,话,3,13,9.0,1.0,8.72261408569921
40,40,97,5_Chinese_41.BMP,法,3,9,4.0,3.0,7.79103784455383
41,41,89,5_Chinese_42.BMP,河,4,9,6.0,3.0,12.236559522736
42,42,86,5_Chinese_43.BMP,线,4,11,7.0,2.0,12.8899193174051
43,43,108,5_Chinese_44.BMP,油,3,9,9.0,3.0,7.21858286110471
44,44,105,5_Chinese_45.BMP,姐,2,8,12.0,0.0,16.9839716937961
45,45,114,5_Chinese_46.BMP,林,2,8,3.0,0.0,14.2405739486678
46,46,117,5_Chinese_47.BMP,姓,2,8,8.0,0.0,16.7985720969874
47,47,9,5_Chinese_48.BMP,矿,3,8,6.0,1.0,12.8585245370222
48,48,6,5_Chinese_49.BMP,诗,3,13,7.0,2.0,7.42630093059725
49,49,109,5_Chinese_50.BMP,村,3,7,4.0,1.0,8.17351081146779
50,50,104,5_Chinese_51.BMP,报,2,8,10.0,0.0,17.4344649543808
51,51,115,5_Chinese_52.BMP,饭,3,13,8.0,0.0,15.1622101058262
52,52,116,5_Chinese_53.BMP,纸,3,10,9.0,1.0,12.9895310429713
53,53,95,5_Chinese_54.BMP,妈,3,6,9.0,1.0,12.547646927568
54,54,98,5_Chinese_55.BMP,戏,1,6,7.0,1.0,11.9982262637042
55,55,88,5_Chinese_56.BMP,江,3,7,2.0,3.0,10.659671976494
56,56,87,5_Chinese_57.BMP,灯,2,6,4.0,1.0,7.39304595469906
57,57,15,5_Chinese_58.BMP,师,2,6,5.0,2.0,14.2753481971334
58,58,17,5_Chinese_59.BMP,冰,4,6,4.0,2.0,9.83826786699463
59,59,10,5_Chinese_60.BMP,队,2,10,6.0,0.0,13.5211348554224
60,60,16,5_Korean_1.BMP,까,3,6,3.0,0.0,8.38324495987806
61,61,4,5_Korean_10.BMP,앞,3,7,5.0,1.0,13.2064389427196
62,62,12,5_Korean_11.BMP,않,5,8,2.0,1.0,11.394068802717
63,63,3,5_Korean_12.BMP,꿴,4,11,5.0,0.0,13.5379428374995
64,64,0,5_Korean_13.BMP,꽹,5,10,5.0,1.0,13.7885197483727
65,65,18,5_Korean_14.BMP,뎁,4,10,7.0,0.0,13.0257106115499
66,66,14,5_Korean_15.BMP,뗑,5,10,5.0,1.0,15.1405144969549
67,67,20,5_Korean_16.BMP,똬,4,10,6.0,0.0,9.64162579348193
68,68,23,5_Korean_17.BMP,옆,2,8,6.0,1.0,12.4367526943863
69,69,99,5_Korean_18.BMP,웝,4,9,6.0,1.0,12.6788111835407
70,70,94,5_Korean_19.BMP,꼲,6,11,4.0,0.0,11.4152612376718
71,71,22,5_Korean_2.BMP,져,2,6,4.0,0.0,10.6381402561576
72,72,102,5_Korean_20.BMP,쾌,3,9,5.0,0.0,9.90773378015671
73,73,111,5_Korean_21.BMP,편,4,9,7.0,0.0,10.508266594543
74,74,118,5_Korean_22.BMP,댾,5,12,7.0,0.0,9.90600371147812
75,75,113,5_Korean_23.BMP,뇋,4,10,4.0,0.0,11.9622517371758
76,76,101,5_Korean_24.BMP,뇉,3,11,7.0,0.0,12.9340110151805
77,77,92,5_Korean_25.BMP,없,3,9,6.0,1.0,9.28690936440352
78,78,85,5_Korean_26.BMP,빤,4,12,10.0,0.0,12.2942070403883
79,79,90,5_Korean_27.BMP,짭,3,12,9.0,0.0,13.1223157286126
80,80,19,5_Korean_28.BMP,뜁,5,13,9.0,0.0,13.7565164832718
81,81,13,5_Korean_29.BMP,뗶,6,14,8.0,0.0,11.0098097816694
82,82,21,5_Korean_3.BMP,혀,3,6,2.0,0.0,10.6269280343708
83,83,100,5_Korean_30.BMP,뇊,3,11,8.0,0.0,12.0965677270031
84,84,93,5_Korean_31.BMP,꼕,5,13,7.0,0.0,12.8240026899143
85,85,84,5_Korean_32.BMP,궪,5,12,4.0,0.0,12.893352558055
86,86,91,5_Korean_33.BMP,빠,3,10,9.0,0.0,12.0989598990941
87,87,103,5_Korean_34.BMP,팎,5,10,7.0,0.0,10.549746332694
88,88,110,5_Korean_35.BMP,뵿,3,10,6.0,0.0,10.1245451807743
89,89,119,5_Korean_36.BMP,훥,6,12,5.0,0.0,12.8809151850903
90,90,112,5_Korean_37.BMP,쬡,4,13,9.0,0.0,13.4976286958955
91,91,5,5_Korean_38.BMP,뻗,3,13,11.0,0.0,11.7912157491988
92,92,11,5_Korean_39.BMP,짡,4,13,8.0,0.0,13.5898247413676
93,93,8,5_Korean_4.BMP,텨,2,7,5.0,0.0,11.3885638722719
94,94,73,5_Korean_40.BMP,짢,5,13,6.0,0.0,11.5727393387523
95,95,82,5_Korean_41.BMP,뗁,6,14,8.0,0.0,13.6706064061035
96,96,71,5_Korean_42.BMP,똏,6,13,6.0,0.0,13.9459471833406
97,97,62,5_Korean_43.BMP,쾒,5,14,6.0,0.0,12.9701658231295
98,98,51,5_Korean_44.BMP,空,5,13,100.0,0.0,17.274678948825
99,99,44,5_Korean_45.BMP,空,5,14,10.0,1.0,11.9536876321249
100,100,53,5_Korean_46.BMP,뚫,6,16,9.0,0.0,13.2909147120193
101,101,61,5_Korean_47.BMP,뺳,5,14,10.0,0.0,15.7779333677668
102,102,42,5_Korean_48.BMP,뷉,5,13,10.0,0.0,14.1693039513099
103,103,36,5_Korean_49.BMP,空,5,15,12.0,1.0,15.3349706439027
104,104,7,5_Korean_5.BMP,북,2,8,6.0,0.0,11.7262526014344
105,105,52,5_Korean_50.BMP,봲,4,14,8.0,0.0,12.9265890819879
106,106,43,5_Korean_51.BMP,뻲,6,16,10.0,0.0,13.080755625218
107,107,54,5_Korean_52.BMP,空,6,16,12.0,2.0,16.9094760833233
108,108,60,5_Korean_53.BMP,뺲,4,15,14.0,0.0,14.403012262281
109,109,72,5_Korean_54.BMP,空,6,16,10.0,2.0,15.8415465389296
110,110,83,5_Korean_55.BMP,空,5,17,12.0,1.0,18.1302653988563
111,111,70,5_Korean_56.BMP,空,7,14,8.0,2.0,16.4432719558932
112,112,63,5_Korean_57.BMP,뻎,4,16,16.0,0.0,14.2057840096194
113,113,24,5_Korean_58.BMP,空,6,15,11.0,1.0,14.7225600111248
114,114,29,5_Korean_59.BMP,뺂,6,16,11.0,0.0,12.2736997999738
115,115,1,5_Korean_6.BMP,돼,2,8,5.0,0.0,13.3983390591122
116,116,41,5_Korean_60.BMP,空,7,16,10.0,2.0,17.6640251351213
117,117,2,5_Korean_7.BMP,파,3,6,5.0,0.0,9.97964471976458
118,118,107,5_Korean_8.BMP,뭐,3,8,6.0,0.0,10.1672462359379
119,119,106,5_Korean_9.BMP,화,3,7,2.0,0.0,13.3001764902243
