,ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum
0,1,PFERD,5,0,23,19
1,2,PFERD,5,0,23,19
2,3,TAG,3,0,10,7
3,4,KNIE,4,0,11,8
4,5,BEIN,4,0,13,10
5,6,GELD,4,0,14,12
6,7,MANN,4,0,10,7
7,8,HUT,3,0,8,4
8,9,BOOT,4,0,14,13
9,10,RAD,3,0,14,12
10,11,MILCH,5,0,13,8
11,12,OHR,3,0,11,9
12,13,KIND,4,0,13,11
13,14,SPIEL,5,0,16,12
14,15,WORT,4,0,14,10
15,16,HUT,3,0,8,4
16,17,BEIN,4,0,13,10
17,18,BOOT,4,0,14,13
18,19,OHR,3,0,11,9
19,20,TAG,3,0,10,7
20,21,SPIEL,5,0,16,12
21,22,WORT,4,0,14,10
22,23,PFERD,5,0,23,19
23,24,KIND,4,0,13,11
24,25,GELD,4,0,14,12
25,26,MILCH,5,0,13,8
26,27,RAD,3,0,14,12
27,28,KNIE,4,0,11,8
28,29,MANN,4,0,10,7
29,30,GELD,4,0,14,12
30,31,TAG,3,0,10,7
31,32,HUT,3,0,8,4
32,33,MILCH,5,0,13,8
33,34,BOOT,4,0,14,13
34,35,KIND,4,0,13,11
35,36,BEIN,4,0,13,10
36,37,PFERD,5,0,23,19
37,38,MANN,4,0,10,7
38,39,KNIE,4,0,11,8
39,40,OHR,3,0,11,9
40,41,WORT,4,0,14,10
41,42,RAD,3,0,14,12
42,43,SPIEL,5,0,16,12
43,44,HUT,3,0,8,4
44,45,KIND,4,0,13,11
45,46,RAD,3,0,14,12
46,47,WORT,4,0,14,10
47,48,BOOT,4,0,14,13
48,49,KNIE,4,0,11,8
49,50,OHR,3,0,11,9
50,51,TAG,3,0,10,7
51,52,GELD,4,0,14,12
52,53,PFERD,5,0,23,19
53,54,BEIN,4,0,13,10
54,55,MILCH,5,0,13,8
55,56,SPIEL,5,0,16,12
56,57,MANN,4,0,10,7
57,58,SPIEL,5,0,16,12
58,59,TAG,3,0,10,7
59,60,WORT,4,0,14,10
60,61,MANN,4,0,10,7
61,62,GELD,4,0,14,12
62,63,RAD,3,0,14,12
63,64,HUT,3,0,8,4
64,65,BOOT,4,0,14,13
65,66,BEIN,4,0,13,10
66,67,MILCH,5,0,13,8
67,68,KNIE,4,0,11,8
68,69,OHR,3,0,11,9
69,70,PFERD,5,0,23,19
70,71,KIND,4,0,13,11
71,72,HUT,3,0,8,4
72,73,OHR,3,0,11,9
73,74,BOOT,4,0,14,13
74,75,KIND,4,0,13,11
75,76,TAG,3,0,10,7
76,77,KNIE,4,0,11,8
77,78,SPIEL,5,0,16,12
78,79,RAD,3,0,14,12
79,80,BEIN,4,0,13,10
80,81,WORT,4,0,14,10
81,82,MANN,4,0,10,7
82,83,GELD,4,0,14,12
83,84,MILCH,5,0,13,8
0,85,OHR,3,1,7,5
1,86,BEIN,4,1,11,11
2,87,KIND,4,1,9,9
3,88,WORT,4,1,10,7
4,89,MANN,4,0,13,10
5,90,KNIE,4,1,11,10
6,91,RAD,3,0,8,8
7,92,MILCH,5,3,10,8
8,93,PFERD,5,0,14,12
9,94,OHR,3,1,7,5
10,95,BOOT,4,2,7,5
11,96,SPIEL,5,3,9,8
12,97,GELD,4,1,9,8
13,98,HUT,3,1,6,3
14,99,TAG,3,0,7,6
15,100,SPIEL,5,3,9,8
16,101,BOOT,4,2,7,5
17,102,HUT,3,1,6,3
18,103,BEIN,4,1,11,11
19,104,GELD,4,1,9,8
20,105,PFERD,5,0,14,12
21,106,TAG,3,0,7,6
22,107,OHR,3,1,7,5
23,108,WORT,4,1,10,7
24,109,KIND,4,1,9,9
25,110,MILCH,5,3,10,8
26,111,MANN,4,0,13,10
27,112,KNIE,4,1,11,10
28,113,RAD,3,0,8,8
29,114,GELD,4,1,9,8
30,115,MILCH,5,3,10,8
31,116,WORT,4,1,10,7
32,117,SPIEL,5,3,9,8
33,118,MANN,4,0,13,10
34,119,HUT,3,1,6,3
35,120,KNIE,4,1,11,10
36,121,TAG,3,0,7,6
37,122,BOOT,4,2,7,5
38,123,OHR,3,1,7,5
39,124,PFERD,5,0,14,12
40,125,BEIN,4,1,11,11
41,126,KIND,4,1,9,9
42,127,RAD,3,0,8,8
43,128,GELD,4,1,9,8
44,129,BEIN,4,1,11,11
45,130,OHR,3,1,7,5
46,131,PFERD,5,0,14,12
47,132,RAD,3,0,8,8
48,133,SPIEL,5,3,9,8
49,134,MILCH,5,3,10,8
50,135,MANN,4,0,13,10
51,136,WORT,4,1,10,7
52,137,KNIE,4,1,11,10
53,138,TAG,3,0,7,6
54,139,HUT,3,1,6,3
55,140,BOOT,4,2,7,5
56,141,KIND,4,1,9,9
57,142,GELD,4,1,9,8
58,143,KIND,4,1,9,9
59,144,OHR,3,1,7,5
60,145,MILCH,5,3,10,8
61,146,MANN,4,0,13,10
62,147,SPIEL,5,3,9,8
63,148,RAD,3,0,8,8
64,149,BEIN,4,1,11,11
65,150,BOOT,4,2,7,5
66,151,PFERD,5,0,14,12
67,152,WORT,4,1,10,7
68,153,TAG,3,0,7,6
69,154,KNIE,4,1,11,10
70,155,HUT,3,1,6,3
71,156,WORT,4,1,10,7
72,157,MILCH,5,3,10,8
73,158,RAD,3,0,8,8
74,159,GELD,4,1,9,8
75,160,BOOT,4,2,7,5
76,161,BEIN,4,1,11,11
77,162,PFERD,5,0,14,12
78,163,HUT,3,1,6,3
79,164,MANN,4,0,13,10
80,165,KIND,4,1,9,9
81,166,SPIEL,5,3,9,8
82,167,KNIE,4,1,11,10
83,168,TAG,3,0,7,6
